,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
171,399001.SZ,20200330,9904.9511,9953.0364,9985.3789,9791.0227,10109.9066,-204.9555,-2.0273,356631369.0,382440662.6
172,399001.SZ,20200327,10109.9066,10300.6192,10310.5324,10105.7185,10155.3593,-45.4527,-0.4476,345009875.0,380281699.8
173,399001.SZ,20200326,10155.3593,10161.9422,10281.5724,10112.6202,10241.0761,-85.7168,-0.837,372992274.0,394186890.2
174,399001.SZ,20200325,10241.0761,10171.4653,10255.579,10111.3621,9921.6831,319.393,3.2191,416839381.0,458152117.8
175,399001.SZ,20200324,9921.6831,9900.2203,9945.9199,9634.9677,9691.5337,230.1494,2.3747,398359284.0,433528584.9
176,399001.SZ,20200323,9691.5337,9828.8987,9929.9636,9659.348,10150.1252,-458.5915,-4.5181,388114615.0,418985613.2
177,399001.SZ,20200320,10150.1252,10150.784,10174.5088,9964.2858,10019.8582,130.267,1.3001,380046974.0,435458534.9
178,399001.SZ,20200319,10019.8582,10023.121,10101.8034,9719.4923,10029.5687,-9.7105,-0.0968,432237748.0,491949299.3
179,399001.SZ,20200318,10029.5687,10294.9555,10479.7831,10029.5687,10202.7534,-173.1847,-1.6974,452580805.0,518373879.3
180,399001.SZ,20200317,10202.7534,10337.9189,10449.3274,9885.8614,10253.2846,-50.5312,-0.4928,449164287.0,495073156.4
181,399001.SZ,20200316,10253.2846,10867.6626,10867.6626,10217.9324,10831.125,-577.8404,-5.335,520482615.0,587677958.0
182,399001.SZ,20200313,10831.125,10382.2213,10956.5086,10380.1711,10941.0135,-109.8885,-1.0044,529004537.0,573701912.3
183,399001.SZ,20200312,10941.0135,11022.4012,11070.4066,10842.3807,11200.0502,-259.0367,-2.3128,465707946.0,509406994.3
184,399001.SZ,20200311,11200.0502,11436.4378,11444.7814,11197.0928,11403.4665,-203.4163,-1.7838,529580219.0,594063173.4
185,399001.SZ,20200310,11403.4665,11016.9238,11406.3047,10916.9461,11108.548,294.9185,2.6549,581355154.0,656502529.5
186,399001.SZ,20200309,11108.548,11363.7949,11407.4723,11100.9134,11582.8159,-474.2679,-4.0946,584734799.0,648077340.3
187,399001.SZ,20200306,11582.8159,11555.4583,11690.2007,11541.7813,11711.3726,-128.5567,-1.0977,538856740.0,580104347.9
188,399001.SZ,20200305,11711.3726,11644.407,11739.8365,11521.2931,11493.0214,218.3512,1.8999,593054204.0,689195542.3
189,399001.SZ,20200304,11493.0214,11411.5973,11501.7968,11273.2634,11484.2118,8.8096,0.0767,513348245.0,602117062.3
190,399001.SZ,20200303,11484.2118,11597.6638,11734.1773,11378.7635,11381.7613,102.4505,0.9001,601666152.0,728950349.7
191,399001.SZ,20200302,11381.7613,11115.4594,11457.4161,11053.288,10980.7746,400.9867,3.6517,532405548.0,632086433.2
192,399001.SZ,20200228,10980.7746,11150.6596,11338.3497,10962.2423,11534.0186,-553.244,-4.7966,610890436.0,696848229.7
193,399001.SZ,20200227,11534.0186,11555.818,11684.4974,11401.3234,11497.5532,36.4654,0.3172,551694823.0,654632006.5
194,399001.SZ,20200226,11497.5532,11677.6286,11770.5086,11453.6868,11856.0815,-358.5283,-3.024,686513098.0,817348520.0
195,399001.SZ,20200225,11856.0815,11537.5538,11869.4067,11350.2752,11772.3755,83.706,0.711,730505831.0,902187396.9
196,399001.SZ,20200224,11772.3755,11620.6312,11809.7496,11548.4098,11629.6982,142.6773,1.2268,620546346.0,770457502.5
197,399001.SZ,20200221,11629.6982,11506.6736,11727.8885,11493.6326,11509.0875,120.6107,1.048,600391734.0,725971466.2
198,399001.SZ,20200220,11509.0875,11278.874,11519.0735,11248.9022,11235.5959,273.4916,2.4342,551710619.0,654664639.5
199,399001.SZ,20200219,11235.5959,11300.1613,11387.9922,11229.5516,11306.4863,-70.8904,-0.627,537762852.0,657484297.2
200,399001.SZ,20200218,11306.4863,11244.7651,11306.4863,11143.3871,11241.4993,64.987,0.5781,528090836.0,624947512.1
201,399001.SZ,20200217,11241.4993,10974.9328,11241.4993,10974.9328,10916.3117,325.1876,2.9789,481114964.0,570188828.1
202,399001.SZ,20200214,10916.3117,10854.4551,11017.6457,10822.1338,10864.3222,51.9895,0.4785,417093369.0,504892464.5
203,399001.SZ,20200213,10864.3222,10936.5011,10988.2314,10820.9173,10940.7952,-76.473,-0.699,455290399.0,536585012.8
204,399001.SZ,20200212,10940.7952,10735.0475,10944.6296,10724.0849,10768.6277,172.1675,1.5988,420141761.0,492545457.1
205,399001.SZ,20200211,10768.6277,10749.9735,10839.1852,10678.1063,10728.4595,40.1682,0.3744,417815190.0,483068699.7
206,399001.SZ,20200210,10728.4595,10577.5574,10730.0535,10551.5389,10611.5512,116.9083,1.1017,470890837.0,544274326.0
207,399001.SZ,20200207,10611.5512,10569.6523,10629.149,10441.9036,10601.3422,10.209,0.0963,489619557.0,567200990.2
208,399001.SZ,20200206,10601.3422,10306.1154,10633.1652,10214.8119,10305.4984,295.8438,2.8707,481109434.0,554856051.9
209,399001.SZ,20200205,10305.4984,10159.552,10445.0937,10148.2435,10089.6665,215.8319,2.1391,454671825.0,523099589.0
210,399001.SZ,20200204,10089.6665,9578.8669,10095.6909,9578.8669,9779.6682,309.9983,3.1698,511560080.0,536037346.6
211,399001.SZ,20200203,9779.6682,9706.5799,9934.3492,9706.5799,10681.904,-902.2358,-8.4464,195449921.0,262459733.7
212,399001.SZ,20200123,10681.904,10947.8577,11025.9951,10572.265,11072.0572,-390.1532,-3.5238,402894259.0,481547538.0
213,399001.SZ,20200122,11072.0572,10896.5546,11105.6909,10761.6769,10953.4131,118.6441,1.0832,352090081.0,429531266.5
214,399001.SZ,20200121,10953.4131,11077.6577,11078.0394,10948.5765,11115.884,-162.4709,-1.4616,338540804.0,404258431.8
215,399001.SZ,20200120,11115.884,10981.5044,11115.884,10936.8036,10954.388,161.496,1.4743,330625512.0,408001033.3
216,399001.SZ,20200117,10954.388,11001.6776,11045.2501,10927.8409,10967.4352,-13.0472,-0.119,304820102.0,365143215.6
217,399001.SZ,20200116,10967.4352,10986.6483,11008.208,10934.7246,10972.3163,-4.8811,-0.0445,317968373.0,375957685.2
218,399001.SZ,20200115,10972.3163,10978.2815,11001.8057,10882.7873,10988.7671,-16.4508,-0.1497,331233272.0,378160533.5
219,399001.SZ,20200114,10988.7671,11074.8869,11086.8086,10983.415,11040.2015,-51.4344,-0.4659,377298121.0,430400617.7
220,399001.SZ,20200113,11040.2015,10893.995,11040.2015,10851.7197,10879.8423,160.3592,1.4739,345273662.0,409505555.3
221,399001.SZ,20200110,10879.8423,10927.981,10933.8054,10833.5194,10898.1665,-18.3242,-0.1681,355689713.0,398600767.1
222,399001.SZ,20200109,10898.1665,10807.0373,10899.4822,10807.0373,10706.8685,191.298,1.7867,396591114.0,434903322.2
223,399001.SZ,20200108,10706.8685,10776.7079,10851.2811,10681.0245,10829.0454,-122.1769,-1.1282,462506909.0,472740643.3
